Age,Ville,Sexe,specialite_BAC,Nationale,Regional,Generale,Francais,Anglais,Loisirs,preferee,detestee,Skills,specialite,performance,satisfaction
31,meknes,Homme,SM,"12,5","10,5","11,85",Intermediaire,Intermediaire,"Sport,Technologie",Mathematiques,Litterature,Leadership,Ingenierie,7,4
31,khenifra,Femme,SP,12,"14,05","13,49",Avance,Intermediaire,"Lecture,Sport,Musique,Voyage",Physique,Biologie,"Communication,Travailenequipe,Adaptabilite,Resolutiondeproblmes",Physique,7,2
21,fès,Homme,SP,"15,28","16,5","16,41",Avance,Avance,"Sport,Musique,Voyage,Cinema,Jeuxvideo,Benevolat",Politiques internationales et publiques,,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Empathie,Espritcritique",Sciences politiques,8,4
21,larache,Femme,SP,"13,89","16,25","15,75",Avance,Intermediaire,"Musique,Voyage,Cinema",Langues,Histoire,"Travailenequipe,Gestiondutemps,Creativite,Resolutiondeproblmes,Leadership",Informatique,1,2
25,meknes,Femme,SP,10,17,13,Fluent,Avance,"Lecture,Benevolat,Ecriture",Chimie,Mathematiques,"Adaptabilite,Creativite,Autonomie",Biologie,8,5
18,agadir,Femme,SP,12,15,12,Fluent,Fluent,"Lecture,Sport,Musique,Voyage,Cinema,Benevolat,Technologie,Ecriture",Langues,Physique,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Empathie,Espritcritique,Autonomie",Ingenierie,8,3
24,rabat,Femme,SM,14,16,15,Avance,Debutant,"Lecture,Ecriture",Litterature,Histoire,"Travailenequipe,Gestiondutemps",Ingenierie,8,4
19,fez,Homme,SM,15,17,"16,67",Fluent,Avance,"Lecture,Sport,Voyage,Jeuxvideo,Artsplastiques,Technologie",Histoire,Physique,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Espritcritique,Autonomie",Economie,8,5
20,tetouan,Femme,SVT,"7,98","15,7","11,92",Avance,Intermediaire,Voyage,Hydraulique,Statistiques,Creativite,Ingenierie,6,4
16,fes,Femme,SM,16,"17,5",16,Avance,Avance,"Sport,Musique,Voyage,Cinema,Jeuxvideo,Benevolat,Technologie,Photographie",Chimie,,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Espritcritique,Autonomie",Ingenierie,8,4
21,fes,Femme,SP,"15,17","17,1","16,13",Avance,Avance,"Artsplastiques,Technologie",Informatique,Histoire,Travailenequipe,Ingenierie,8,4
20,ain taoujdate,Femme,Lettres,"16,83","12,86","15,86",Intermediaire,Avance,"Musique,Artsplastiques,Photographie",Histoire,Mathematiques,"Creativite,Resolutiondeproblmes,Espritcritique",Arts et design,2,1
18,casa,Homme,SE,17,"15,98","17,5",Avance,Intermediaire,"Lecture,Sport,Cinema,Ecriture",Litterature,Physique,"Adaptabilite,Creativite,Resolutiondeproblmes,Espritcritique",Economie,8,5
21,fes,Homme,SE,14,14,15,Avance,Avance,"Sport,Jeuxvideo,Benevolat",Histoire,Mathematiques,"Travailenequipe,Gestiondutemps,Adaptabilite,Resolutiondeproblmes,Leadership",Economie,7,4
18,el hajeb,Homme,SE,"10,15","13,45","11,77",Intermediaire,Avance,"Musique,Jeuxvideo,Artsplastiques",Art,Histoire,"Creativite,Espritcritique,Aghlabhadchymaandishw3ndirohabjtima3ihhhhh",Economie,3,2
20,fes,Homme,SM,16,"19,15","17,59",Avance,Avance,"Sport,Musique,Jeuxvideo,Ecriture",Physique,,"Communication,Travailenequipe,Adaptabilite,Leadership,Espritcritique",Ingenierie,7,4
18,fes,Femme,SP,"16,89","17,75","16,34",Intermediaire,Debutant,"Musique,Benevolat,Photographie",Langues,Biologie,"Communication,Travailenequipe,Adaptabilite,Creativite,Resolutiondeproblmes",Economie,7,4
